;QUESTION;ANSWER
1439;"Основания для приостановления предоставления государственной услуги ""Зачисление в детский сад""?   ";"На этапе выдачи направления для приема ребенка в ОУ:
- при отсутствии подтверждения заявителем потребности в предоставленном месте;
- в случае отказа заявителя от предоставленного места.
На этапе рассмотрения заявления о приеме в ОУ и представленных документов:
- непредставление документов, необходимых для оказания государственной услуги;
- обращение лица, не относящегося к категории заявителей."
1440;"Основания для отказа в предоставлении государственной услуги ""Зачисление в детский сад""?   ";"На этапе рассмотрения заявления комиссией:
- обращение лица, не относящегося к категории заявителей;
- возрастные ограничения для получения ребенком дошкольного образования в ОУ;
- наличие зарегистрированного заявления с идентичными персональными данными ребенка, поступившее ранее одним из способов подачи заявления о постановке на учет;
- отсутствие в ОУ возрастной группы на планируемый год поступления ребенка в ОУ;
- отсутствие заключения ПМПК при постановке ребенка на учет или переводе ребенка в другое ОУ в группу компенсирующей направленности;
- отсутствие заключения из медицинской организации, подтверждающей потребность в группе оздоровительной направленности;
- при подаче заявления о постановке ребенка на учет - присутствие ребенка в списке зачисленных воспитанников в группу указанной в заявлении направленности данного ОУ.
В приеме в ОУ может быть отказано только по причине отсутствия в ней свободных мест. В случае отсутствия мест в ОУ родители (законные представители) ребенка для решения вопроса о его устройстве в другое ОУ обращаются в Комиссию."
1441;"Результат предоставления государственной услуги ""Зачисление в детский сад""?   ";"постановка (отказ в постановке) ребенка на учет в качестве нуждающегося в получении дошкольного образования и (или) присмотра и ухода;
- внесение изменений в заявление о постановке ребенка на учет;
- направление для приема ребенка в ОУ;
- прием (отказ в приеме) ребенка в ОУ;
- перевод ребенка в другое ОУ или изменение условий договора об образовании по образовательным программам дошкольного образования с родителем ("
1442;"Срок предоставления государственной услуги ""Зачисление в детский сад""?   ";"Постановка ребенка на учет.
Принятие решения о постановке (отказе в постановке) ребенка на учет производится в течение 10 рабочих дней с даты обращения заявителя на Портал или в МФЦ, 10 рабочих дней с даты регистрации указанного заявления в КАИС КРО в случае обращения заявителя на федеральный Портал.

Перевод ребенка в другое ОУ или изменение условий заключенного договора.
Принятие решения о постановке (или об отказе в постановке) ребенка на учет для перевода в другое ОУ или изменении условий заключенного договора производится в течение 10 рабочих дней с даты обращения заявителя на Портал или в МФЦ, 10 рабочих дней с даты регистрации указанного заявления в КАИС КРО в случае обращения заявителя на федеральный Портал.
Прием в ОУ осуществляется в течение всего календарного года при наличии свободных мест.

Выдача направления для приема ребенка в ОУ.
Комиссия выдает направление для приема ребенка в ОУ в срок не позднее завершения периода комплектования на текущий год (30 июня текущего года), а в период доукомплектования (с 1 августа по 31 января текущего года) при наличии вакантного места в ОУ. Направление для приема ребенка в ОУ действительно в течение 30 календарных дней с даты уведомления заявителя. Датой уведомления заявителя является дата формирования на Портале или федеральном Портале электронного направления (в случае подачи заявления о постановке ребенка на учет в электронном виде через Портал или федеральный Портал) или дата фиксации в МАИС ЭГУ факта информирования заявителя о возможности получения направления в МФЦ (в случае подачи заявления посредством МФЦ).

Прием ребенка в ОУ.
ОУ принимает решение о приеме ребенка или отказывает в приеме ребенка в течение 3 рабочих дней с даты приема документов от заявителя.

"
1443;"Какие изменения можно внести по услуге ""Зачисление в детский сад""?   ";"Заявитель имеет право после получения уведомления о постановке ребенка на учет внести следующие изменения в заявление с сохранением даты постановки ребенка на учет:
- изменить ранее выбранный год поступления ребенка в ОУ;
- изменить ранее выбранный район Санкт-Петербурга с обязательным изменением ОУ;
- изменить ранее выбранные ОУ в указанном районе Санкт-Петербурга;
- изменить ранее выбранную направленность группы;
- изменить или добавить сведения о внеочередном, первоочередном или преимущественном праве зачисления в ОУ;
- изменить сведения о месте регистрации и месте жительства ребенка;
- изменить контактные данные заявителя (телефон, эл. почта);
- указать (отменить) согласие на предложение свободного места в других ОУ."
1444;"Какие изменения не вносятся по услуге ""Зачисление в детский сад""?   ";"При изменении фамилии, имени, отчества заявителя и ребенка, даты рождения ребенка, реквизитов удостоверения личности заявителя и ребенка изменения в заявление не вносятся. Родитель (законный представитель) ребенка подтверждает изменения руководителю ОУ соответствующими оригиналами документов при предъявлении в ОУ направления для приема ребенка в ОУ.
В случае прекращения деятельности ОУ внесение изменений в заявление о постановке ребенка на учет инициируется Комиссией с предложением изменить ранее выбранное ОУ по причине прекращения его деятельности посредством рассылки уведомлений заявителям, в заявлениях которых указано ОУ, прекращающее деятельность, на адрес электронной почты, указанной в заявлении о постановке ребенка на учет."
1445;"Последовательность действий при обращении для внесении изменений по услуге ""Зачисление в детский сад""?   ";"В случае обращения заявителя (представителя) в МФЦ для внесения изменений в обращение, поданное через МФЦ, работник МФЦ:
1) Проводит проверку полномочий обратившегося лица.
2) Находит в «Истории обращений» или по номеру ранее оформленное обращение.
3) В режиме редактирования в соответствии с заполненным заявителем заявлением о внесении изменений корректирует соответствующие поля на вкладке «Доп. атрибуты» или поле «Контактная информация» на вкладке «Заявитель/Представитель» в соответствии с Порядком обработки обращения в МАИС (зачисление) или Порядком обработки обращения в МАИС (перевод).
4) Сканирует в электронное дело отдельным файлом заявление о внесении изменений.
5) Сканирует в электронное дело отдельными файлами документы, подтверждающие внесенные изменения (в случае представления заявителем).
6) После внесенных изменений отправляет обращение в работу со статусом (16) «Электронное дело передано на рассмотрение в ответственный орган власти / ответственную организацию».
7) Отдает заявителю заявление о внесении изменений."
1446;"Какие статусы для внесения изменеий по услуге ""Зачисление в детский сад""?   ";"Внесение изменений доступно только в случае, если обращение находится в следующих статусах 
- 84 с комментариями «На учете» / «Заявление рассмотрено» / «Уведомление о постановке ребенка на учет» (т.е. поступило уведомление о постановке на учет);
- 84 с комментарием о постановке на следующий год (т.е. поступило уведомление о постановке на учет следующего года);
- 84 с комментарием «Временно зачислен» (до 28.10.2021 ребенок мог быть зачислен в альтернативный д/с и продолжать стоять на учете в выбранные д/с);
- 85, установленного после статуса 84 с комментариями, указанными выше;
- 151 с комментарием «Ожидание направления».
"
1447;"Обратить внимение по услуге ""Зачисление в детский сад""?   ";При получении уведомления о неявке в ДОУ для восстановления ребенка в очереди заявителю необходимо обратиться в Комиссию. При отсутствии обращения заявителя в Комиссию в течение двух лет заявление аннулируется. Внесение изменений возможно после установки статуса 84 с уведомлением о постановке на учет.
1448;"Срок рассмотрения заявления о внесении изменений по услуге ""Зачисление в детский сад""?   ";Решение о внесении изменений (отказе о внесении изменений) в заявление о постановке ребенка на учет принимается Комиссией в течение 10 рабочих дней с даты обращения заявителя на Портал или в МФЦ, 10 рабочих дней с даты регистрации указанного заявления в КАИС КРО в случае обращения заявителя на федеральный Портал.
1449;"Результат процедуры по внесению изменений в заявление по услуге ""Зачисление в детский сад""?   ";"внесение изменений в заявление о постановке ребенка на учет в МАИС ЭГУ или на федеральном Портале;
- выгрузка полученных заявлений с внесением изменений в личные кабинеты членов Комиссии в КАИС КРО."
1450;"Отклонение внесения изменений в заявление осуществляется в случаях по услуге ""Зачисление в детский сад""?   ";"обращения лица, не относящегося к категории заявителей;
- несоответствия возрастным ограничениям для получения ребенком дошкольного образования в ОУ;
- отсутствия в ОУ возрастной группы на планируемый год поступления ребенка в ОУ;
- отсутствия заключения ПМПК при указании потребности в группе компенсирующей направленности;
- отсутствия медицинского заключения при указании потребности в группе оздоровительной направленности;
- непредставления необходимых документов."
1451;"Кто является заявителем по услуге "" детский сад""?   ";Заявителями являются граждане Российской Федерации, постоянно проживающие на территории Российской Федерации, а также временно проживающие на территории Российской Федерации иностранные граждане и лица без гражданства, являющиеся родителями (законными представителями) детей, имеющих право на посещение ОУ по возрасту.
1452;"Возраст дающий право на посещение по услуге "" детский сад""?   ";в соответствии со статьей 67 Федерального закона от 29.12.2012 № 273-ФЗ «Об образовании в Российской Федерации» получение дошкольного образования в образовательных учреждениях может начинаться по достижении детьми возраста двух месяцев. Получение начального общего образования в образовательных учреждениях начинается по достижении детьми возраста шести лет и шести месяцев при отсутствии противопоказаний по состоянию здоровья, но не позже достижения ими возраста восьми лет.
1453;"Что нужно сделать перед подачей заявления по услуге "" детский сад""?   ";Родителям, прежде чем подать заявление о постановке ребенка на учет для предоставления места в детском саду, необходимо получить сведения непосредственно в детском саду о наличии необходимых заявителю возрастных групп будущих воспитанников, групп компенсирующей или оздоровительной направленности при необходимости.
1454;"Колличество заявлений которые может подать заявитель по услуге "" детский сад""?   ";Заявитель вправе подать одновременно только одно заявление и только в одном районе Санкт-Петербурга.
1455;"Последовательность распределения детей в рамках электронного списка по услуге "" детский сад""?   ";"сортировка заявлений о постановке ребенка на учет по желаемой дате приема;
- сортировка заявлений о постановке ребенка на учет в соответствии с установленным признаком «внеочередное право», «первоочередное право» ;
- сортировка списка заявлений о постановке ребенка на учет по признаку закрепления территории за государственными образовательными организациями по первому ОУ в списке желаемых для приема;
- сортировка списка заявлений о постановке ребенка на учет по наличию признака «преимущественное право»;
- сортировка списка заявлений по дате регистрации заявления о предоставлении места в ОУ."
1456;"Для получения напправления во внеочередном, первоочередном или в прядке приемущсетвенного права нужно по услуге "" детский сад""?   ";Для получения направления в детский сад во внеочередном, первоочередном порядке или в порядке преимущественного права заявителю необходимо в год поступления ребенка в детский сад представить в комиссию по комплектованию детских садов администрации района Санкт-Петербурга до 1 февраля оригиналы документов, подтверждающие право заявителя на внеочередной, первоочередной или преимущественный прием ребенка в детский сад. При отсутствии сведений, подтверждающих наличие права внеочередного, первоочередного или преимущественного приема ребенка в ОУ, а также при непредставлении в комиссию до начала периода комплектования (1 февраля текущего года) оригиналов документов, подтверждающих право заявителя на внеочередной, первоочередной или преимущественный прием ребенка в ОУ, заявление о постановке ребенка на учет рассматривается на общих основаниях до представления оригиналов документов, подтверждающих право заявителя внеочередного, первоочередного, преимущественного приема ребенка в ОУ.
1457;"Сколько детских садов можно выбрать по услуге "" детский сад""?   ";При заполнении заявления формируется список детских садов, из которых заявитель может выбрать не более трех, расположенных в одном районе Санкт-Петербурга: первое из выбранных является приоритетным, другие - дополнительными.
1458;"Логопедическая помощь по услуге "" детский сад""?   ";" Логопедическая помощь в образовательных учреждениях Санкт-Петербурга осуществляется в соответствии с распоряжением Минпросвещения России от 06.08.2020 № Р-75 «Об утверждении примерного Положения об оказании логопедической помощи в организациях, осуществляющих образовательную деятельность».
В соответствии с распоряжением логопедическая помощь осуществляется на основании личного заявления родителей (законных представителей) и (или) согласия родителей (законных представителей) несовершеннолетних обучающихся в адрес руководителя образовательного учреждения.
Зачисление на логопедические занятия обучающихся, нуждающихся в получении логопедической помощи, и их отчисление осуществляется на основании распорядительного акта руководителя образовательного учреждения.
Постановка ребенка на учет для направления в образовательное учреждение в целях оказания логопедической помощи в СПб ГКУ «МФЦ», на порталах госуслуг не требуется.
Таким образом, в случае необходимости посещения ребенком логопункта заявление подается непосредственно в образовательное учреждение, в котором находится логопункт."
1459;"Документ, удостоверяющий личность заявителя по услуге
 "" детский сад""?   ";"
Для граждан Российской Федерации:
- паспорт гражданина Российской Федерации
- временное удостоверение личности гражданина Российской Федерации, выдаваемое на период оформления паспорта

Для иностранных граждан:
- паспорт иностранного гражданина
- иной документ, установленный федеральным законом или признаваемый в соответствии с международным договором Российской Федерации в качестве документа, удостоверяющего личность иностранного гражданина

Для лиц без гражданства:
- документ, выданный иностранным государством и признаваемый в соответствии с международным договором Российской Федерации в качестве документа, удостоверяющего личность лица без гражданства
- временное удостоверение личности лица без гражданства в Российской Федерации
- разрешение на временное проживание лица без гражданства
- вид на жительство лица без гражданства
- иные документы, предусмотренные федеральным законом или признаваемые в соответствии с международным договором Российской Федерации в качестве документов, удостоверяющих личность лица без гражданства

Для лиц, находящихся на территории Российской Федерации, подавших заявление о признании гражданами Российской Федерации или о приеме в гражданство Российской Федерации:
- документ, удостоверяющий личность на период рассмотрения заявления о признании гражданином Российской Федерации или о приеме в гражданство Российской Федерации

Для беженцев и вынужденных переселенцев:
- удостоверение беженца или вынужденного переселенца

Для лиц, получивших временное убежище на территории Российской Федерации:
- свидетельство о предоставлении временного убежища на территории Российской Федерации
"
1460;"Какие документы предоставить при обращении представителя по услуге "" детский сад""?   ";"Представлять интересы заявителя вправе доверенное лицо на основании документа, оформленного в соответствии с действующим законодательством, подтверждающего наличие у представителя права действовать от лица заявителя, и определяющего условия и границы реализации права представителя на получение государственной услуги (доверенность, удостоверенная нотариально, либо оформленная в простой письменной форме):
- представителю заявителя необходимо предоставить паспорт гражданина Российской Федерации или иной документ, удостоверяющий личность представителя заявителя;
- представителю необходимо предоставить документ, подтверждающий его полномочия."
1461;"Какие дополнительно документы должен предоставить заявитель по услуге "" детский сад""?   ";"1. Документ, удостоверяющий личность ребенка, выданный компетентными органами иностранного государства, и его нотариально удостоверенный перевод на русский язык:
- свидетельство о рождении ребенка, выданное компетентными органами иностранного государства, и его нотариально удостоверенный перевод на русский язык;
- удостоверение иностранного гражданина, не достигшего 16-летнего возраста;
- паспорт ребенка, являющегося иностранным гражданином. 2  Документы, подтверждающие право заявителя действовать в интересах ребенка:
- свидетельство о заключении и (или) расторжении брака, выданные компетентными органами иностранного государства, и их нотариально удостоверенный перевод на русский язык (при наличии) (подтверждающие изменение персональных данных заявителя);
- документы об установлении над ребенком опеки или попечительства, о передаче ребенка в приемную семью, выданные компетентными органами иностранного государства, и их нотариально удостоверенный перевод на русский язык;
- документы, подтверждающие полномочия представителя для категории детей-сирот и детей, оставшихся без попечения родителей: акт органа исполнительной власти субъекта Российской Федерации о назначении руководителем организации для детей-сирот и детей, оставшихся без попечения родителей (для государственных организаций);
- акт учредителя о назначении руководителем организации для детей-сирот и детей, оставшихся без попечения родителей (для негосударственных организаций);
- вступившее в законную силу решение суда о лишении (ограничении) родителей родительских прав (при наличии);
- вступившее в законную силу решение суда о признании родителей безвестно отсутствующими (умершими) (при наличии);
- вступившее в законную силу решение суда о признании родителей недееспособными (ограниченно дееспособными) (при наличии);
- вступившее в законную силу решение суда об установлении факта отсутствия родительского попечения над ребенком (при наличии);
- письменное согласие матери и (или) отца ребенка на усыновление (удочерение) (при наличии);
- вступивший в законную силу приговор суда о назначении наказания матери (отцу) ребенка в виде лишения свободы (при наличии);
- вступившее в законную силу постановление судьи об избрании меры пресечения матери (отцу) ребенка в виде заключения под стражу (при наличии);
- вступившее в законную силу постановление суда о принудительном лечении матери и (или) отца ребенка в медицинской организации, оказывающей психиатрическую помощь в стационарных условиях (при наличии);
- свидетельство о рождении, не содержащее сведений о матери и (или) отце ребенка, выданное компетентными органами иностранного государства, и его нотариально удостоверенный перевод на русский язык (при наличии);
- свидетельство о смерти матери и (или) отца, выданное компетентными органами иностранного государства, и его нотариально удостоверенный перевод на русский язык (при наличии);
- решение суда об исключении матери из актовой записи о рождении (при наличии);
- свидетельство об усыновлении ребенка;
- свидетельство об усыновлении ребенка, выданное компетентными органами иностранного государства, и его нотариально удостоверенный перевод на русский язык;
- свидетельство об установлении отцовства, выданное компетентными органами иностранного государства, и его нотариально удостоверенный перевод на русский язык. 3.Заключение психолого-медико-педагогической комиссии (ПМПК) для постановки ребенка на учет в ОУ (для приема в группу компенсирующей направленности). 4.Медицинское заключение, подтверждающее потребность в обучении в группе оздоровительной направленности. 5.Документы, подтверждающие право на внеочередное или первоочередное зачисление ребенка в ОУ (при наличии). 6.Согласие на обработку персональных данных лица, не являющегося заявителем, на имя которого выдан документ, подтверждающий право внеочередного, первоочередного, преимущественного приема ребенка в ОУ (если представленный документ выдан на второго родителя)."
1462;"Основания для отказа в приеме документов по услуге "" детский сад""?   ";"непредставление заявителем (представителем) документа, удостоверяющего личность, или представление документа, удостоверяющего личность, с истекшим сроком действия или недействительного документа, удостоверяющего личность (при предоставлении государственной услуги посредством МФЦ, а также при проверке полномочий представителя при личном обращении в Комиссию);
- непредставление представителем документов, подтверждающих его полномочия по представлению интересов заявителя (при предоставлении государственной услуги посредством МФЦ, а также при проверке полномочий представителя при личном обращении в Комиссию);
- непредставление заявителем (представителем) согласия на обработку персональных данных лица, не являющегося заявителем (представителем), в случае если для предоставления государственной услуги необходима обработка персональных данных такого лица, при предоставлении государственной услуги посредством МФЦ, а также при личном обращении в Комиссию.
"
1463;"Основания для приостановления предоставления государственной услуги "" детский сад""?   ";"На этапе выдачи направления для приема ребенка в ОУ:
- при отсутствии подтверждения заявителем потребности в предоставленном месте;
- в случае отказа заявителя от предоставленного места.
На этапе рассмотрения заявления о приеме в ОУ и представленных документов:
- непредставление документов, необходимых для оказания государственной услуги;
- обращение лица, не относящегося к категории заявителей."
1464;"Основания для отказа в предоставлении государственной услуги "" детский сад""?   ";"На этапе рассмотрения заявления комиссией:
- обращение лица, не относящегося к категории заявителей;
- возрастные ограничения для получения ребенком дошкольного образования в ОУ;
- наличие зарегистрированного заявления с идентичными персональными данными ребенка, поступившее ранее одним из способов подачи заявления о постановке на учет;
- отсутствие в ОУ возрастной группы на планируемый год поступления ребенка в ОУ;
- отсутствие заключения ПМПК при постановке ребенка на учет или переводе ребенка в другое ОУ в группу компенсирующей направленности;
- отсутствие заключения из медицинской организации, подтверждающей потребность в группе оздоровительной направленности;
- при подаче заявления о постановке ребенка на учет - присутствие ребенка в списке зачисленных воспитанников в группу указанной в заявлении направленности данного ОУ.
В приеме в ОУ может быть отказано только по причине отсутствия в ней свободных мест. В случае отсутствия мест в ОУ родители (законные представители) ребенка для решения вопроса о его устройстве в другое ОУ обращаются в Комиссию."
1465;"Результат предоставления государственной услуги "" детский сад""?   ";"постановка (отказ в постановке) ребенка на учет в качестве нуждающегося в получении дошкольного образования и (или) присмотра и ухода;
- внесение изменений в заявление о постановке ребенка на учет;
- направление для приема ребенка в ОУ;
- прием (отказ в приеме) ребенка в ОУ;
- перевод ребенка в другое ОУ или изменение условий договора об образовании по образовательным программам дошкольного образования с родителем ("
1466;"Срок предоставления государственной услуги "" детский сад""?   ";"Постановка ребенка на учет.
Принятие решения о постановке (отказе в постановке) ребенка на учет производится в течение 10 рабочих дней с даты обращения заявителя на Портал или в МФЦ, 10 рабочих дней с даты регистрации указанного заявления в КАИС КРО в случае обращения заявителя на федеральный Портал.

Перевод ребенка в другое ОУ или изменение условий заключенного договора.
Принятие решения о постановке (или об отказе в постановке) ребенка на учет для перевода в другое ОУ или изменении условий заключенного договора производится в течение 10 рабочих дней с даты обращения заявителя на Портал или в МФЦ, 10 рабочих дней с даты регистрации указанного заявления в КАИС КРО в случае обращения заявителя на федеральный Портал.
Прием в ОУ осуществляется в течение всего календарного года при наличии свободных мест.

Выдача направления для приема ребенка в ОУ.
Комиссия выдает направление для приема ребенка в ОУ в срок не позднее завершения периода комплектования на текущий год (30 июня текущего года), а в период доукомплектования (с 1 августа по 31 января текущего года) при наличии вакантного места в ОУ. Направление для приема ребенка в ОУ действительно в течение 30 календарных дней с даты уведомления заявителя. Датой уведомления заявителя является дата формирования на Портале или федеральном Портале электронного направления (в случае подачи заявления о постановке ребенка на учет в электронном виде через Портал или федеральный Портал) или дата фиксации в МАИС ЭГУ факта информирования заявителя о возможности получения направления в МФЦ (в случае подачи заявления посредством МФЦ).

Прием ребенка в ОУ.
ОУ принимает решение о приеме ребенка или отказывает в приеме ребенка в течение 3 рабочих дней с даты приема документов от заявителя.

"
